Interval start timestamp: 2020-12-25T00:00:00.000Z
Interval end timestamp: 2021-01-01T00:00:00.000Z
Interval start block: 11519440
Interval end block: 11565019
Interval total rewards: 4249428480000000000000000 KEEP

Rewards weight sum 208886975721588692178861
Total rewards sum 3276877990435664598345680
┌─────────┬──────────────────────────────────────────────┬──────────────┬──────────────────────────┬───────────────────────┬────────────────────────────┬─────────────────────┬─────────────────────────────────┬─────────────┬─────────────────┬───────────┬────────────────┬────────────────────┬──────────────┬─────────────┬──────────────┬───────────┬─────────────┬──────────────┬───────────┬───────────┬────────┬──────────────┬──────────────┐
│ (index) │                   operator                   │ isFraudulent │ factoryAuthorizedAtStart │ poolAuthorizedAtStart │ poolDeauthorizedInInterval │ minimumStakeAtStart │ poolRequirementFulfilledAtStart │ keygenCount │ keygenFailCount │ keygenSLA │ signatureCount │ signatureFailCount │ signatureSLA │ SLAViolated │  keepStaked  │ ethBonded │ ethUnbonded │ ethWithdrawn │ ethTotal  │ ethScore  │ boost  │ rewardWeight │ totalRewards │
│   15    │ '0x5CA1F949c75833432d6BC8E3cb6FB23386F63426' │    false     │           true           │         true          │           false            │        true         │              true               │      9      │        0        │    100    │       6        │         0          │     100      │    false    │ '499200.00'  │ '808.33'  │   '0.09'    │    '0.00'    │ '808.41'  │ '808.41'  │ '2.11' │  '1706.81'   │  '34722.03'  │
│   16    │ '0xe76c773C18d0D305A488B16CF6Ef14273B57665d' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       2        │         0          │     100      │    false    │ '101000.00'  │  '96.55'  │   '10.45'   │    '0.00'    │ '107.00'  │ '107.00'  │ '2.37' │   '254.02'   │  '5167.57'   │
│   17    │ '0x404EE198baB25b71b64776dFB96531e059456b3e' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       5        │         0          │     100      │    false    │ '150000.00'  │ '233.36'  │   '0.00'    │   '233.36'   │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   18    │ '0x0CF6F3D138236fbc7B831a976942bF8D3907C550' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '150000.00'  │  '37.83'  │   '18.67'   │    '0.00'    │  '56.50'  │  '56.50'  │ '3.14' │   '177.57'   │  '3612.37'   │
│   19    │ '0x692a84140091e1FF6D5B8c138fB184aFFBeE8Ae8' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       2        │         0          │     100      │    false    │ '278221.00'  │ '199.64'  │   '0.21'    │    '0.00'    │ '199.85'  │ '199.85'  │ '2.67' │   '533.32'   │  '10849.53'  │
│   20    │ '0x8Bd660A764Ca14155F3411a4526a028b6316CB3E' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        0        │    100    │       3        │         0          │     100      │    false    │ '832533.00'  │  '71.85'  │   '17.76'   │    '0.00'    │  '89.60'  │  '89.60'  │ '5.31' │   '475.86'   │  '9680.49'   │
│   21    │ '0xa620a7ea64202FEF1d60466b8d496dB656454728' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '498400.00'  │  '0.00'   │   '3.44'    │    '0.00'    │  '3.44'   │  '3.44'   │ '8.12' │   '27.90'    │   '567.60'   │
│   22    │ '0x00Cef852246b08B9215772c3f409D28408Bb21bD' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       1        │         0          │     100      │    false    │ '705718.00'  │ '189.29'  │   '43.63'   │    '0.00'    │ '232.91'  │ '232.91'  │ '3.46' │   '806.27'   │  '16402.15'  │
│   23    │ '0x70164FF765Be63011E783866e334293A6fe92DcB' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '101000.00'  │  '19.20'  │   '35.91'   │    '0.00'    │  '55.11'  │  '55.11'  │ '2.44' │   '134.62'   │  '2738.58'   │
│   24    │ '0xd66cAE89FfBc6E50e6b019e45c1aEc93Dec54781' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '100000.00'  │  '96.84'  │   '19.56'   │    '0.00'    │ '116.40'  │ '116.40'  │ '2.31' │   '268.98'   │  '5471.89'   │
│   25    │ '0xA79827813Da962f5A4C95AF40550259EE868d202' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       2        │         0          │     100      │    false    │ '100000.00'  │ '203.22'  │   '44.61'   │    '0.00'    │ '247.83'  │ '247.83'  │ '1.90' │   '470.46'   │  '9570.73'   │
│   26    │ '0x581B54952b65cb619389BB4D90F5acF04e3D697a' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       2        │         0          │     100      │    false    │ '100000.00'  │ '125.25'  │   '89.25'   │    '0.00'    │ '214.50'  │ '214.50'  │ '1.97' │   '421.62'   │  '8577.09'   │
│   27    │ '0x9AF71bc32f2Ca72C68ba26584cA4dBf5e349FAb9' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │ '113.20'  │   '52.70'   │    '0.00'    │ '165.90'  │ '165.90'  │ '2.10' │   '348.05'   │  '7080.55'   │
│   28    │ '0x2eBE08379f4fD866E871A9b9E1d5C695154C6A9F' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        0        │    100    │       2        │         0          │     100      │    false    │ '908054.00'  │ '254.99'  │   '3.75'    │    '0.00'    │ '258.74'  │ '258.74'  │ '3.65' │   '944.23'   │  '19208.57'  │
│   29    │ '0xA97c34278162b556A527CFc01B53eb4DDeDFD223' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '0.15'   │   '11.96'   │    '0.00'    │  '12.11'  │  '12.11'  │ '2.29' │   '27.67'    │   '562.99'   │
│   30    │ '0x6C76d49322C9f8761A1623CEd89A31490cdB649d' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       2        │         0          │     100      │    false    │  '90000.00'  │  '21.83'  │   '4.17'    │    '0.00'    │  '26.00'  │  '26.00'  │ '2.29' │   '59.43'    │  '1208.97'   │
│   31    │ '0x003428E767ece053974bdC155BC129cae491EBe2' │    false     │           true           │         true          │           false            │        true         │              true               │      9      │        3        │    66     │       10       │         0          │     100      │    true     │ '1066064.00' │ '849.16'  │   '2.53'    │    '0.00'    │ '851.69'  │ '851.69'  │ '2.58' │  '2199.24'   │    '0.00'    │
│   32    │ '0x4a41c7a884d119eaaefE471D0B3a638226408382' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       4        │         0          │     100      │    false    │ '1274801.00' │ '267.02'  │   '17.30'   │    '0.00'    │ '284.33'  │ '284.33'  │ '3.99' │  '1135.74'   │  '23104.68'  │
